exposure,risk_score,target
1.0,0.05,1.10
1.1,0.10,1.30
1.2,0.15,1.48
1.3,0.20,1.68
1.4,0.25,1.87
1.5,0.30,2.06
1.6,0.35,2.26
1.7,0.40,2.45
1.8,0.45,2.65
1.9,0.50,2.84
2.0,0.55,3.04
2.1,0.60,3.23
2.2,0.65,3.43
2.3,0.70,3.62
2.4,0.75,3.82
2.5,0.80,4.01
2.6,0.85,4.21
2.7,0.90,4.40
2.8,0.95,4.60
2.9,1.00,4.79
3.0,1.05,4.99
3.1,1.10,5.18
3.2,1.15,5.38
3.3,1.20,5.57
3.4,1.25,5.77
3.5,1.30,5.96
3.6,1.35,6.16
3.7,1.40,6.35
3.8,1.45,6.55
3.9,1.50,6.74
4.0,1.55,6.94
4.1,1.60,7.13
4.2,1.65,7.33
4.3,1.70,7.52
4.4,1.75,7.72
4.5,1.80,7.91
4.6,1.85,8.11
4.7,1.90,8.30
4.8,1.95,8.50
4.9,2.00,8.69
